,age,season,Notes,position_digtt,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,name_digtt
112,35,10,9.0,5,182.88,73.03,64.5,8.88,1.55,2.76,-3.31,0.02,0.07,0.22,0.52,0.23,0
113,35,13,9.0,2,203.2,100.14,75.15,8.49,4.15,1.76,4.34,0.05,0.11,0.13,0.56,0.09,141
114,38,13,9.0,5,187.37,87.93,47.92,4.32,1.95,3.58,-0.55,0.02,0.1,0.17,0.43,0.31,12
115,35,12,9.0,5,187.32,78.47,69.17,9.07,2.22,4.37,-4.65,0.02,0.08,0.18,0.51,0.27,94
116,37,13,9.0,5,190.5,78.02,66.92,6.44,2.09,3.9,-1.08,0.01,0.09,0.15,0.52,0.25,148
117,31,10,8.0,5,183.39,77.79,70.8,12.63,2.69,5.02,-0.11,0.02,0.08,0.2,0.57,0.26,37
118,42,19,8.0,5,187.96,81.65,74.21,12.88,2.25,3.69,1.61,0.01,0.07,0.2,0.55,0.2,68
119,34,13,8.0,5,198.12,101.71,65.92,16.21,4.79,2.58,-0.48,0.04,0.12,0.23,0.52,0.13,67
120,32,4,8.0,2,206.38,107.73,15.25,2.43,2.58,0.2,-7.65,0.14,0.23,0.17,0.45,0.04,119
121,36,12,8.0,0,211.03,108.86,67.17,9.18,7.46,1.06,0.82,0.11,0.25,0.17,0.57,0.07,99
122,29,3,8.0,2,203.2,92.99,53.67,6.07,1.8,1.17,-7.83,0.03,0.1,0.19,0.44,0.11,2
123,38,17,8.0,2,200.66,103.47,69.47,12.22,3.92,2.02,0.14,0.03,0.13,0.19,0.56,0.12,128
124,35,13,8.0,4,195.58,97.21,63.38,6.64,2.12,1.6,-4.27,0.03,0.09,0.17,0.47,0.11,41
125,38,16,7.0,2,205.74,104.47,67.69,17.59,7.26,1.57,-1.89,0.07,0.17,0.24,0.52,0.08,11
126,30,7,7.0,3,207.19,125.52,60.43,5.66,3.34,0.57,-7.64,0.09,0.17,0.2,0.51,0.07,84
127,38,15,7.0,3,210.82,103.57,69.6,14.27,6.63,1.74,6.4,0.05,0.2,0.22,0.53,0.09,123
128,31,1,7.0,0,210.82,117.93,25.0,0.9,1.0,0.1,-3.2,0.14,0.15,0.13,0.53,0.05,138
129,34,10,7.0,2,200.66,117.93,61.8,5.19,3.83,0.4,-6.14,0.1,0.15,0.16,0.5,0.04,66
130,35,4,7.0,6,195.58,92.53,33.75,3.3,1.52,1.2,-3.6,0.04,0.12,0.17,0.47,0.17,90
131,28,5,7.0,6,200.66,97.07,51.0,5.46,3.54,1.4,-2.7,0.05,0.15,0.13,0.51,0.1,89
132,36,13,7.0,2,205.54,120.03,66.23,16.27,9.48,2.28,-0.68,0.09,0.26,0.24,0.55,0.13,22
133,35,13,7.0,5,185.42,87.12,67.54,5.82,2.16,4.22,-0.92,0.03,0.09,0.16,0.48,0.3,48
134,36,13,6.0,3,211.02,113.19,68.46,8.42,4.31,0.94,-0.83,0.04,0.18,0.18,0.55,0.07,24
135,40,13,6.0,5,187.96,87.58,65.08,18.15,2.83,7.25,-2.65,0.02,0.07,0.24,0.52,0.34,147
