player_name,season
Andrew Wiggins,6
Derrick McKey,6
Hilton Armstrong,6
Spencer Dinwiddie,6
Jimmer Fredette,6
Reggie Slater,6
Julius Randle,6
Chucky Brown,6
Ike Austin,6
Donatas Motiejunas,6
AJ Price,6
Aaron Gordon,6
Zendon Hamilton,6
Ike Diogu,6
Zach LaVine,6
Chris Quinn,6
Ian Clark,6
Dominic McGuire,6
Keon Clark,6
Doug McDermott,6
Dion Glover,6
Isaiah Canaan,6
Isaiah Rider,6
Jordan Clarkson,6
Jordan Crawford,6
John Jenkins,6
Austin Daye,6
Anthony Mason,6
Dell Curry,6
Lee Nailon,6
Joey Graham,6
Eric Montross,6
Arvydas Sabonis,6
Shabazz Napier,6
Tariq Abdul-Wahad,6
Lavoy Allen,6
Ronald Dupree,6
Linton Johnson,6
Joe Ingles,6
Joe Harris,6
Loren Woods,6
Seth Curry,6
PJ Tucker,6
Tyler Johnson,6
Greg Anthony,6
John Starks,6
Johnny Newman,6
Anthony Miller,6
Anthony Randolph,6
Eldridge Recasner,6
Elfrid Payton,6
Chris Gatling,6
Larry Sanders,6
Elliot Perry,6
Antoine Wright,6
Stephen Graham,6
Emanual Davis,6
Cory Alexander,6
Rodney Hood,6
Michael Dickerson,5
Chris Carr,5
T.J. McConnell,5
Cedric Henderson,5
Chris Mullin,5
Jahlil Okafor,5
JaKarr Sampson,5
Smush Parker,5
Cedric Ceballos,5
Michael Bradley,5
Stanley Johnson,5
Donnell Harvey,5
Jamal Sampson,5
Jamario Moon,5
Leon Powe,5
Antonio Harvey,5
John Thomas,5
Tyrone Corbin,5
Larry Nance Jr.,5
Larry Johnson,5
Landry Fields,5
Jordan Hamilton,5
Tyus Jones,5
Vernon Maxwell,5
Kyrylo Fesenko,5
Andrew Nicholson,5
Andre Roberson,5
Josh Richardson,5
Wang Zhi-zhi,5
Justin Anderson,5
Will Perdue,5
Kevon Looney,5
Willie Cauley-Stein,5
Justise Winslow,5
Jusuf Nurkic,5
Xavier Henry,5
Yi Jianlian,5
Karl-Anthony Towns,5
Adam Keefe,5
Zeljko Rebraca,5
Kelly Oubre Jr.,5
Trey Lyles,5
Lorenzo Brown,5
Jim McIlvaine,5
Brian Roberts,5
James Anderson,5
James Singleton,5
Jamie Feick,5
Terry Mills,5
Terry Rozier,5
Jared Sullinger,5
Mario Hezonja,5
Mario Elie,5
Byron Mullens,5
Thomas Robinson,5
Jason Collier,5
Bryant Reeves,5
MarShon Brooks,5
Loy Vaught,5
Mamadou N'diaye,5
Jeff Adrien,5
Todd Fuller,5
Tom Hammonds,5
Bobby Portis,5
Jermaine Jackson,5
Boban Marjanovic,5
Jerome Kersey,5
Jerome Moiso,5
Billy Owens,5
Travis Diener,5
Luc Longley,5
Jeff Withey,5
A.C. Green,5
Derek Strong,5
Pat Connaughton,5
Ron Harper,5
Rondae Hollis-Jefferson,5
Devin Booker,5
Richaun Holmes,5
Sean Elliott,5
Gary Grant,5
Norman Powell,5
Oliver Miller,5
Darius Miller,5
Dwayne Jones,5
Greg Smith,5
Montrezl Harrell,5
Duane Causwell,5
DeAndre Liggins,5
Nikola Mirotic,5
Detlef Schrempf,5
Muggsy Bogues,5
Myles Turner,5
Nikola Jokic,5
Eddie Griffin,5
Scott Burrell,5
Eddie Robinson,5
Nik Stauskas,5
Dante Exum,5
Eric Maynor,5
Sam Mack,5
Rodney Buford,5
Sam Perkins,5
Nemanja Bjelica,5
Rodney Carney,5
Delon Wright,5
D'Angelo Russell,5
Emmanuel Mudiay,5
Don MacLean,5
Raul Neto,5
Sherman Douglas,5
Hamed Haddadi,5
Rusty LaRue,5
Henry Walker,5
David Wingate,5
Doug West,5
Hasheem Thabeet,5
Sergio Rodriguez,5
Otis Thorpe,5
Shabazz Muhammad,5
Donald Sloan,5
Dickey Simpkins,5
Mitchell Butler,5
Cristiano Felicio,5
Michael Smith,5
Kelenna Azubuike,5
Hersey Hawkins,5
Frank Kaminsky,5
Rudy Fernandez,4
Rodney White,4
Maceo Baston,4
Joey Dorsey,4
