Date,Team,Acquired,Relinquished,Notes
2012-03-30,Bucks,,• Carlos Delfino,placed on IL with right groin injury
2012-03-30,Bucks,• Jon Leuer,,activated from IL
2012-03-30,Cavaliers,,• Daniel Gibson,placed on IL with torn tendon in left ankle
2012-03-30,Heat,• Terrel Harris,,activated from IL
2012-03-30,Magic,,• Von Wafer,placed on IL
2012-03-30,Magic,• Daniel Orton,,activated from IL
2012-03-30,Rockets,,• Malcolm Thomas (b. 1988-11-08),placed on IL (F)
2012-03-31,Bobcats,,• Corey Maggette,placed on IL with strained right Achilles tendon
2012-03-31,Bobcats,• DeSagana Diop,,activated from IL
2012-03-31,Knicks,,• Jared Jeffries,placed on IL with sore right knee
2012-03-31,Knicks,• Bill Walker,,activated from IL
2012-04-01,Heat,,• Eddy Curry,placed on IL
2012-04-01,Hornets,,• Emeka Okafor,placed on IL (F) (out for season)
2012-04-01,Hornets,,• Trevor Ariza,placed on IL (F)
2012-04-01,Magic,,• Dwight Howard,placed on IL with back injury
2012-04-01,Magic,• Justin Harper,,activated from IL
2012-04-01,Timberwolves,,• Michael Beasley,placed on IL with strained left big toe
 Date, Team, Acquired, Relinquished, Notes
2012-04-01,Timberwolves,• Nikola Pekovic,,activated from IL
2012-04-02,Bulls,• Richard Hamilton,,activated from IL (P)
2012-04-02,Mavericks,,• Jason Kidd,placed on IL with strained right groin
2012-04-02,Mavericks,• Dominique Jones,,activated from IL
2012-04-02,Thunder,,• Reggie Jackson (Shon),placed on IL
2012-04-02,Thunder,• Daequan Cook,,activated from IL
2012-04-03,Bobcats,,• DeSagana Diop,placed on IL (F)
2012-04-03,Heat,,• Dwyane Wade,placed on IL with bruised left knee
2012-04-03,Heat,• Eddy Curry,,activated from IL
2012-04-03,Magic,,• Jameer Nelson,placed on IL with calf injury
2012-04-03,Magic,,• Ryan Anderson,placed on IL with sprained right ankle
2012-04-03,Magic,• Von Wafer,,activated from IL
2012-04-03,Magic,• Dwight Howard,,activated from IL
